"filename", "language", "Markdown", "Ignore", "JSON", "JSON with Comments", "TypeScript", "HTML", "SCSS", "YAML", "C#", "XML", "XAML", "Docker", "comment", "blank", "total"
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\DTOs\NewQuestionModel.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\DTOs\NewQuizModel.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 5, 50
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\DTOs\QuestionDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\DTOs\SolutionDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 5, 28
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\DTOs\UpdateSolutionGradeRequest.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 16, 4, 30
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\Question.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\QuestionConfiguration.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\Quiz.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 8, 7, 75
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\Solution.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 6, 7, 58
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Repositories\IQuizzesRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Repositories\QuizzesRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 1, 11, 86
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Services\AiAssessmentService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 10, 24, 224
